,user_id,user_language,top_topic,topic_prob
26862,256139290,English,1,0.70914469005
27384,187806540,English,1,0.889678057557
27686,758023163376697344,English,0,0.333333333333
28400,155639997,English,1,0.899228627064
29157,107551859,English,1,0.979923149642
29264,729580084340871168,English,1,0.532369528506
29389,52695934,English,0,0.533860100186
29408,96668703,English,0,0.525681782985
29715,3193921132,English,2,0.554695081036
29872,315973074,English,0,0.498621337965
29904,407393602,English,1,0.919525489571
30185,113620774,English,1,0.924351675914
30525,4438215213,English,0,0.987346377408
30629,3091442283,English,0,0.333333333333
31413,2485170283,English,0,0.754995148124
31805,378255343,English,2,0.907579388897
31909,802969634324549632,English,2,0.663079016023
31994,1428447840,English,1,0.887409753776
32399,263591128,English,1,0.950742551254
32551,2982861657,English,1,0.949106467919
33058,73368801,English,0,0.615240774477
33732,31381500,English,1,0.630431320919
33790,267497909,English,0,0.333333333333
33821,169894950,English,0,0.987166640656
34016,3023881161,English,1,0.771562243971
34202,25669286,English,1,0.939106073592
34716,48759378,English,0,0.989399539575
35558,730250160618516481,English,0,0.842055491979
36035,349194803,English,1,0.825788609283
36443,4880769467,English,0,0.953894787356
36448,183207823,English,1,0.860900151829
36733,2192459551,English,0,0.650256705861
36774,255562091,English,1,0.752677756915
37061,3331870468,English,1,0.978997018922
37114,362119223,English,1,0.913053040883
37528,235170444,English,2,0.941331330752
38012,272651307,English,1,0.769114605945
38368,1446510535,English,2,0.833409425441
38688,234919359,English,2,0.66307833905
38693,997434792,English,1,0.923299961249
39107,210408604,English,0,0.98963836229
39178,2199073928,English,0,0.695611408107
39320,790333045610078208,English,0,0.333333333333
39651,121409287,English,1,0.907843529241
39711,206458468,English,1,0.573918018217
40045,111053636,English,1,0.698003556222
40358,172426539,English,0,0.513416436864
40943,248629887,English,1,0.756975255571
41118,2942617174,English,1,0.977800911266
41147,193414263,English,1,0.535897559856
41309,169264687,English,1,0.587489865759
41372,3307703242,English,0,0.333333333333
41642,220758115,English,1,0.526979270562
41654,562055111,English,0,0.862395931293
42088,186965591,English,0,0.989327339844
43228,229389111,English,0,0.935438464573
43531,755889219462049792,English,1,0.612336965965
43593,752956530220228608,English,0,0.333333333333
44317,4843095471,English,0,0.333333333333
44420,66558585,English,1,0.802393784029
44486,3843335787,English,1,0.944816863588
44493,152667222,English,1,0.975511491515
44749,25745725,English,2,0.606315873356
44786,298700845,English,1,0.926955508107
45100,41865448,English,1,0.966436727948
45475,180772482,English,1,0.971058726867
45563,71309649,English,0,0.333333333333
46038,527693049,English,1,0.550257497255
46163,627869529,English,0,0.519899707446
46290,742734177485901826,English,1,0.659948369149
46496,1163845350,English,1,0.902383944695
46582,2966421879,English,1,0.94973930968
46628,194033605,English,1,0.950452976638
46999,66041070,English,1,0.861281394049
47414,1017796033,English,2,0.645567477231
47458,189924883,English,1,0.981469517488
47479,325759668,English,1,0.510140790514
47554,403841608,English,1,0.978303561567
47562,2276057557,English,1,0.781526249871
47828,196718856,English,0,0.83794190618
48152,158369009,English,1,0.820127479311
48560,545091996,English,2,0.828438255554
48564,12664,English,2,0.574751129771
49073,403036917,English,1,0.594867494239
49551,776864921011224576,English,1,0.678717769197
49566,57023496,English,1,0.966974398564
50365,3293329420,English,2,0.624023374504
50428,96723712,English,1,0.976701563765
50646,37962504,English,1,0.960520571915
50714,1641267378,English,1,0.965595884642
50986,3910200387,English,0,0.333333333333
51569,54476159,English,0,0.333333333333
51859,269368334,English,0,0.636690984981
52122,78913063,English,2,0.663077804952
52133,490747899,English,0,0.661618778249
52199,207958598,English,1,0.842139399839
52274,211651573,English,1,0.911591743664
52303,3359695833,English,2,0.748618963187
52668,824935484,English,2,0.80075709123
52922,3330353650,English,1,0.924858969451
53197,275091464,English,1,0.84755247325
53258,2249584889,English,0,0.986887179168
53811,318249596,English,1,0.981955534441
53970,919790984,English,1,0.911606895522
