,Index,membership_la,user_id,user_language,top_topic,topic_prob
292,113447,22,7.26476E+17,English,0,0.864285712
293,115524,18,2981502325,English,1,0.919865204
294,115938,17,428673733,English,0,0.841666664
295,116522,20,371462372,English,0,0.894444442
296,117022,24,27446384,English,2,0.860251177
297,117195,22,59856676,English,2,0.362141507
298,117663,22,1909816800,English,0,0.961999999
299,118069,22,4198151654,English,1,0.867342416
300,118283,26,1445493090,English,0,0.929896702
301,118306,17,516238736,English,1,0.521111557
302,118658,22,230925945,English,4,0.571866599
303,119417,18,961855112,English,0,0.961999999
304,120319,22,14992263,English,1,0.88237611
305,120388,32,4759615755,English,0,0.932142855
306,120867,29,3181044655,English,0,0.987820513
307,121256,20,2479363808,English,0,0.683333327
308,122255,22,26917290,English,1,0.978888888
309,123982,8,484323537,English,1,0.630608483
310,124311,29,520922601,English,0,0.960416665
311,124343,29,434236131,English,0,0.940624999
312,125346,8,2168531471,English,1,0.775515255
313,125935,24,251683490,English,0,0.431380939
314,126223,29,261531859,English,0,0.932142856
315,126300,33,321843012,English,3,0.432388861
316,127543,17,3105923876,English,1,0.683333328
317,127998,22,2990816679,English,0,0.694355932
318,129060,8,39396057,English,0,0.956818181
319,129072,24,114838665,English,0,0.932142856
320,129132,11,2380577936,English,2,0.489268345
321,129401,22,460657107,English,0,0.909858813
322,129531,20,285482901,English,1,0.577132457
323,129757,20,2267054580,English,1,0.764910571
324,129889,22,423171365,English,2,0.773163341
325,130155,22,2565926318,English,0,0.967241379
326,130551,22,21106819,English,0,0.693790607
327,130688,22,1395390884,English,1,0.345227305
328,131679,22,36790399,English,0,0.524999995
329,131906,22,790663975,English,1,0.517311083
330,132407,29,61481954,English,2,0.348214058
331,132725,22,2925186415,English,0,0.913636362
332,132864,22,804125228,English,0,0.947222221
333,132889,22,2954054510,English,0,0.871570779
334,132912,22,220452039,English,1,0.729563651
335,132915,11,1034134598,English,2,0.976829268
336,132925,20,21784622,English,0,0.876169111
337,133213,29,282282885,English,2,0.298700816
338,133881,18,4252334778,English,0,0.96361201
339,134078,22,8.05517E+17,English,0,0.988271605
340,134324,18,517162135,English,2,0.654479954
341,134989,29,66204407,English,0,0.954761904
342,135911,22,2966392989,English,0,0.987662337
343,136092,29,20461099,English,0,0.894763875
344,136951,22,22120626,English,0,0.535585643
345,137717,26,34437285,English,1,0.564966075
346,138098,11,542148409,English,0,0.985820895
347,138338,22,345082702,English,0,0.536430049
348,138434,17,2151409268,English,0,0.956818181
349,138462,22,1258027088,English,0,0.926923075
350,138646,24,460861031,English,0,0.579380314
351,139426,17,1624754894,English,0,0.401420703
352,141444,22,2314760570,English,0,0.447583868
353,141902,18,1434377868,English,0,0.864285712
354,142117,29,2973572653,English,1,0.71006798
355,142549,33,1023862440,English,1,0.571533254
356,142752,22,4181680457,English,0,0.944117646
357,143166,22,2913140042,English,1,0.773999332
358,143210,22,103191938,English,3,0.535906396
359,144391,8,77353707,English,1,0.868644354
360,144736,8,2587010552,English,0,0.859444991
361,145486,8,2739215919,English,3,0.337268368
362,145643,22,621298492,English,3,0.893494412
363,145863,18,2864203242,English,1,0.889057173
364,146190,24,6.95735E+17,English,1,0.489329787
365,146576,32,7.08729E+17,English,0,0.947222221
366,146697,22,2526568406,English,0,0.593639463
367,147068,11,1403861616,English,1,0.836062566
368,147117,8,1554590155,English,14,0.762499996
369,147315,32,22997183,English,2,0.509401965
370,147566,22,3192578776,English,0,0.920833332
371,147756,22,175921402,English,0,0.954761903
372,147828,22,2557547432,English,18,0.809999991
373,147892,22,2803108491,English,2,0.780033263
374,148106,22,1242270073,English,0,0.986619718
375,148607,28,1869690962,English,0,0.552463392
376,149240,22,2782689215,English,2,0.558008155
377,149659,17,3166070384,English,0,0.548500184
378,150524,24,498376351,English,0,0.622475227
379,150539,17,16608439,English,0,0.920833332
380,150667,29,80973641,English,1,0.500106576
381,150814,22,1036304371,English,0,0.99520202
382,152080,29,20280828,English,1,0.773776254
383,152199,18,930379232,English,0,0.533550687
384,152413,22,2249690053,English,0,0.913636362
385,152728,20,477357902,English,0,0.947222221
386,152897,24,1071962341,English,0,0.525
387,153455,29,2447816565,English,2,0.407554223
388,153541,33,514615435,English,0,0.384982456
389,153660,8,7.02187E+17,English,0,0.954761904
390,153922,20,1607088668,English,1,0.576596107
391,154139,22,3094679364,English,0,0.949999999
392,154847,33,2333765504,English,0,0.541978834
