"","Index","membership_ch","user_id","user_language","top_topic","topic_prob"
"190",88453,34,431055546,"English",0,0.932142855
"191",88459,26,169534955,"English",1,0.913636361
"192",88490,24,7.22264e+17,"English",0,0.05
"193",88906,26,519076458,"English",0,0.932142856
"194",88916,23,3041889431,"English",11,0.809999996
"195",89411,36,437667016,"English",0,0.971212121
"196",89581,34,853989463,"English",1,0.54942037
"197",89630,34,2356507320,"English",0,0.920833331
"198",89724,34,280186123,"English",2,0.26014394
"199",90175,34,459823428,"English",0,0.841666663
"200",90540,35,2401370642,"English",0,0.491438495
"201",90573,33,1515643705,"English",0,0.841666663
"202",90795,31,7.18924e+17,"English",1,0.661383885
"203",91354,34,2458423645,"English",0,0.841666663
"204",91555,34,3332102273,"English",0,0.968333333
"205",91701,22,1262904066,"English",0,0.904999999
"206",91920,26,415819875,"English",16,0.809999994
"207",92075,22,8.14025e+17,"English",1,0.644802779
"208",92535,26,174813552,"English",15,0.524999995
"209",92946,34,1106708816,"English",7,0.762499996
"210",92948,31,63996401,"English",1,0.463678461
"211",92966,29,757479150,"English",0,0.904999996
"212",93221,34,617440404,"English",0,0.904999998
"213",93689,29,560004484,"English",0,0.453514983
"214",94057,8,195603528,"English",0,0.05
"215",94903,34,8546022,"English",0,0.735747927
"216",95004,26,393052866,"English",7,0.683333328
"217",95758,20,16352001,"English",1,0.567806308
"218",96760,36,357172692,"English",13,0.762499997
"219",96798,27,162295717,"English",10,0.683333328
"220",97348,20,3028990751,"English",16,0.762499998
"221",97576,36,632069457,"English",0,0.877524959
"222",97679,22,29801335,"English",9,0.524999998
"223",97692,34,338072849,"English",0,0.495966841
"224",98067,29,21437383,"English",0,0.988690476
"225",98278,20,2883104475,"English",0,0.864285711
"226",98647,36,8.1573e+17,"English",15,0.809999998
"227",98657,25,3409008273,"English",9,0.524999983
"228",98975,22,3105112923,"English",0,0.730903621
"229",99250,27,1321820930,"English",0,0.894444442
"230",100093,29,161913895,"English",0,0.683333328
"231",100882,2,65054111,"English",0,0.05
"232",101042,22,911613583,"English",3,0.462828007
"233",101592,31,403397008,"English",0,0.536563486
"234",101691,32,727286629,"English",12,0.520334282
"235",102372,34,416800897,"English",0,0.592834647
"236",102959,34,368699588,"English",0,0.841666661
"237",103061,33,341101958,"English",0,0.516039101
"238",103868,29,4271836393,"English",0,0.972857142
"239",104334,36,100404534,"English",8,0.524999997
"240",104432,34,51175642,"English",0,0.507469486
"241",104570,22,184487347,"English",0,0.841666654
"242",105721,20,956119363,"English",0,0.904999998
"243",105732,20,1107605161,"English",0,0.489059522
"244",105756,33,2305798879,"English",1,0.591901096
"245",105879,31,273218776,"English",2,0.762499998
"246",105954,31,44895792,"English",17,0.762499993
"247",106151,31,1281728095,"English",12,0.54181635
"248",106585,31,814381172,"English",8,0.762499991
"249",106826,34,406015141,"English",0,0.607934254
"250",108194,25,1009924316,"English",1,0.478955496
"251",109078,20,254742379,"English",0,0.944117646
"252",109364,22,94831854,"English",0,0.841666663
"253",109815,22,2987475880,"English",0,0.570180961
"254",109838,34,111733251,"English",0,0.762499994
"255",110297,37,3109459039,"English",0,0.05
"256",110879,33,3148157121,"English",15,0.762499995
"257",111191,26,701784925,"English",0,0.468925679
"258",111288,9,262386318,"English",12,0.525
"259",111338,31,187093356,"English",9,0.762499993
"260",111534,29,27010927,"English",0,0.973611111
"261",111535,31,185523376,"English",1,0.500407904
"262",111570,32,531375993,"English",2,0.809999996
"263",112333,34,37528514,"English",3,0.403888573
"264",112539,26,2170673924,"English",12,0.683333322
"265",112830,25,2701786567,"English",0,0.462737915
"266",113236,20,94457577,"English",1,0.592918386
"267",114773,22,774755640,"English",0,0.540898032
"268",114891,34,1722807956,"English",1,0.420034405
"269",115089,34,344733417,"English",0,0.623686945
"270",115199,31,322302526,"English",0,0.904999996
"271",116100,36,2893894633,"English",0,0.913636363
"272",116354,26,2769739236,"English",15,0.809999997
"273",117263,36,2241696036,"English",5,0.762499996
"274",117571,26,2574637636,"English",14,0.368909125
"275",117889,31,4808464829,"English",0,0.974324324
"276",118825,20,1431728426,"English",1,0.481908374
"277",118846,34,1564360412,"English",0,0.904999998
"278",119441,25,453427226,"English",4,0.524999998
"279",119651,35,7.46457e+17,"English",0,0.894444442
